Industry,Row,Year,Name,Body,Mode of Governance,Measurement Details,Impact,Transparency_1,Transparency_2,Transparency_3,Transparency_4,Transparency_5,Total
,,,,,,,,,,,,,
Fa+A,3,2010,American Grassfed,In,"Thrdp,Slf",food products from animals that have eaten nothing but their mother’s milk and fresh grass or grass-type hay from birth to harvest – all their lives,"EN+N,FQ",1,0,1,1,1,4
Fa+A,4,2002,USDA Organic,Gov,Gov,"Organic meat, poultry, eggs, and dairy products come from animals that are given no antibiotics or growth hormones.

Organic food is produced without using most conventional pesticides; fertilizers made with synthetic ingredients or sewage sludge; bioengineering; or ionizing radiation.",FQ,1,0,0,1,1,3
Manf,5,2004,80 PLUS,In,Thrdp,promotes and incents a broad array of highly energy-efficient commercial and retail technologies.,EN+E,1,1,1,0,1,4
Serv,6,2009,UPS Carbon Neutral,In,Thrdp ,"indicates that UPS customers have offset the climate impact of the GHG emissions produced by the transportation of that shipment. UPS calculates the emissions and purchases carbon offset credits equivalent to the GHG emissions created in shipping the package to make it ""carbon neutral"".",EN+E,0,0,0,0,0,0
Manf,7,1970,Recycled Content,Gov,Gov,Generic symbol used to show recycled content; also sometimes used to indicate that the product can be recycled. Does not mean that the product has been certified.,EN+E,1,0,0,0,0,1
Fa+A,8,2007,Non-GMO,Nonp,Non-GMO Project,"The non-GMO seal means that a product has been produced according to rigorous best practices for GMO avoidance, including testing of risk ingredients. The Non-GMO Project is the only organization offering independent verification of testing and GMO controls for products in the U.S. and Canada.",FQ,1,0,1,1,1,4
Serv,9,2010,FedEx EarthSmart Solutions,In,Slf,"EarthSmart Solutions encourages innovation at FedEx by offering an internal company designation for any of their assets — including planes, trucks and facilities — that meet environmental sustainability criteria.

FedEx assets that qualify for the EarthSmart Solutions designation must clearly meet or exceed the sustainability standards set by the company — and they must exceed standard practices in the industry.",EN+E,,,,,,0
Serv,10,1997,Fairtrade,Nonp,Gov,"Fairtrade is an ethical trade system that puts people first. Fairtrade offers farmers and workers in developing countries a better deal, and the opportunity to improve their lives and invest in their future. Fairtrade gives consumers the opportunity to help reduce poverty and instigate change through everyday shopping.","EN+E,SC",1,0,1,0.5,1,3.5
Fa+A,11,2007,Fair Labor Practices and Community Benefits,In,Thrdp,"Social responsibility certification to complement Organic Fair Labor Practices and Community Benefits certification – developed by Scientific Certification Systems (SCS) in conjunction with key stakeholders – validates socially responsible practices in agricultural production and processing. Complementing organic and other environmental certifications, Fair Labor Practices is deisgned to meet the growing consumer demand for products produced in accordance with fair and equitable labor practices.",SC,1,0,1,1,0,3
Manf,12,1992,ENERGY STAR: USA,Gov,Gov,"a voluntary government-backed program dedicated to helping individuals protect the environment through energy efficiency. The ENERGY STAR mark is the national symbol for energy efficiency, making it easy for consumers and businesses to identify high-quality, energy-efficient products, homes, and commercial and industrial buildings. ENERGY STAR distinguishes what is efficient/better for the environment without sacrificing features or performance. Products that earn the ENERGY STAR mark prevent greenhouse gas emissions by meeting strict energy-efficiency guidelines set by the U.S. Environmental Protection Agency. ",EN+E,1,1,1,0,1,4
Manf,13,1999,Compostable: Biodegradable Products Institute Label,In,Thrdp,identifies products that meet ASTM D6400 (for plastics) or ASTM D6868 (for fibre based applications) and will compost satisfactorily in large scale composting facilities.,EN+E,1,1,1,0,0,3
Serv,14,2007,Certified Wildlife Friendly,Nonp,Wildlife Friendly® Enterprise Network,"The product contributes directly to in situ conservation of key species.
Production has a positive impact on the local economy.
Individuals or communities living with wildlife participate in the production, harvest, processing or manufacture of the product.","EN+E,SC",1,0,0,0,0,1
Fa+A,15,1990,Certified Green Restaurant,Nonp,Green Restaurant Association,"Energy, Water, Waste, Chemicals, Food, and Packaging",EN+E,1,0.5,1,1,0,3.5
Fa+A,16,2004,C.A.F.E. Practices,In,Thrdp,"Coffee and Farmer Equity (C.A.F.E.) Practices evaluates, recognizes and rewards producers of high-quality sustainably grown coffee for Starbucks stores. C.A.F.E. Practices is a green coffee sourcing guideline with third-party evaluation. C.A.F.E. Practices seeks to ensure that Starbucks sources sustainably grown and processed coffee by evaluating the economic, social and environmental aspects of coffee production against a defined set of criteria, as detailed in the C.A.F.E. Practices Guidelines. Starbucks defines sustainability as an economically viable model that addresses the social and environmental needs of all the participants in the supply chain from farmer to consumer.","EN+E,SC",1,0.5,1,1,0,3.5
Fa+A,17,1998,Bird Friendly Coffee,Nonp,Thrdp,"Identifies and verifies through third-party, independent inspection and certification that coffee has been grown using shade management practices that provide good bird habitats. Shade characteristics must meet science-based criteria developed from ornithological field work. Only allows organic certifiers to issue the Bird Friendly label on organically certified coffees.",EN+E,,,,,,0
Manf,18,1981,Bio Suisse,Nonp,Thrdp,"Indicates fully organic, produced in Switzerland. More than 90% of the raw materials come from Switzerland",EN+E,,,,,,0
Manf,19,2008,BEST Standard 1001,Nonp,Thrdp,recognition for lead battery manufacturers that meet minimum emission standards and agree to take back used batteries for environmentally sound recycling.,EN+E,1,0,0,1,0,2
Fa+A,20,2002,Best Aquaculture Practice,Nonp,"Thrdp,Slf","The standards specifically protect biodiversity and worker rights within a program that addresses environmental, social, food safety and traceability issues throughout producers' operations","EN+E,SC",1,0,1,0,1,3
"Manf,Serv",21,1978,Blue Angel,Gov,Thrdp,the German government and awarded by an independent Jury to products that are environmentally friendlier than others serving the same use,"EN+E,SC",1,1,1,1,1,5
"Manf,Serv",22,1992,CRI Green Label,In,Slf,"Green Label program to test carpet, cushions and adhesives to help specifiers identify products with very low emissions of VOCs",EN+E,1,0,0,0,1,2
Manf,23,2008,Carbon Neutral Certification,In,Slf,a label given to businesses that offset their Scope 1 and 2 carbon footprin,EN+E,1,1,1,1,0,4
Manf,24,2007,Climate Registered,Nonp,Thrdp,"sets consistent and transparent standards to calculate, verify and publicly report greenhouse gas (GHG) emissions into a single registry",EN+E,1,1,1,0,1,4
"Manf,Serv",25,1992,EU Ecolabel,Gov,Thrdp,A voluntary scheme designed to encourage businesses to market products and services that are kinder to the environment and for European consumers - including public and private purchasers - to easily identify them,EN+E,1,1,1,1,1,5
Serv,26,1997,EarthCheck,In,Thrdp,"EarthCheck have helped businesses, communities and governments to deliver clean, safe, prosperous and healthy destinations for travellers to visit, live, work and play",SC,1,0,0,0,0,1
Manf,27,2009,Level,In,"Thrdp,Slf","to deliver an open and holistic means of evaluating and communicating the environmental and social impacts of furniture products in the built environment. Taking into account a company’s social actions, energy usage, material selection and human and ecosystem health impacts, level addresses how a product is sustainable from multiple perspectives.","EN+E,SC",1,0,1,1,1,4
Serv,28,2003,e-Stewards Certification ,Nonp,Thrdp,initiative defines and promotes responsible electronics reuse and recycling best practices worldwide,"EN+E,SC",0,0,1,0,0,1
Manf,29,2001,bluediesgn standard,In,Slf,"textile manufacturing chain to jointly reduce the ecological footprint of a responsibly acting textile industry. The bluesign® standard analyzes all input streams – from raw materials to chemical components, to resources – with a sophisticated “Input Stream Management” process",EN+E,1,1,0,1,0,3
Fa+A,30,1990,WHC (Wildlife Habbitat Conservation) Certification,Nonp,Slf,Wildlife Habitat Council (WHC) Conservation Certification recognizes wildlife habitat management and conservation education programs,EN+E,1,0,1,0,0,2
Serv,31,Unknown,WSDA Organic,Gov,Thrdp,"WSDA Organic Program is accredited as a certification agent by USDA. As a certification agent of the National Organic Program, WSDA Organic Program's role is to inspect and certify organic operations; verifying that they are meeting the requirements of USDA organic standards.",EN+E,1,0,1,1,0,3
Serv,32,2013,WQA Sustainability Mark,Nonp,"Thrdp,Slf",The WQA Sustainability Certification Program is the first of its kind in the drinking water treatment industry,"FQ,SC",1,1,1,1,0,4
Fa+A,33,2005,VeriFlora,Nonp,Slf,"The VeriFlora label indicates flowers and plants have been produced in a manner that emphasizes environmental performance, social responsibility, and product quality",EN+E,0,0,1,0,0,1
"Fa+A,Serv",34,2007,Whole Trade Guarantee (now Souce For Good),In,Slf,"helps support workers, communities and environmental stewardship where our products are sourced. We collaborate with farms, suppliers and international third-party certifiers — Fair Trade USA, Rainforest Alliance, Fairtrade America, Fair Food Program and Equitable Food Initiative — to help provide things like improved wages, health care, student scholarships, planting trees to prevent erosion and more","EN+E,SC,FQ",0,0,0,0,0,0
Serv,35,2006,WaterSense,Gov,Thrdp,"WaterSense labeled products are backed by independent, third–party certification and meet EPA’s specifications for water efficiency and performance",EN+E,1,1,1,1,1,5
Manf,36,1959,WQA Gold Seal ,Nonp,Slf,"WQA's Gold Seal Product Certification Program ensures that the product is constructed or formulated from safe materials, the claims listed on the packaging are backed by test data, and the product will hold up under normal usage conditions",SC,1,0,0,1,0,2
Fa+A,37,1985,Vermont Organic Certified,Nonp,Thrdp,label is found on products grown or raised in Vermont which meet the standards of the USDA National Organic Program,"En+E,SC",1,0,0,0,1,2
Manf,38,2007,Carbon Trust  ,In,Thrdp,The Carbon Reduction Label is a public commitment that the carbon footprint of a product or service has been measured and certified and the owner of the product or service has committed to reduce that footprint over the following two years,En+E,1,1,1,0,1,4
Manf,39,2008,CirtiPUR-US,In,Thrdp,"CertiPUR-US® tests for durability, content and indoor emissions. Home furnishings items, such as upholstered furniture and mattresses, that carry the CertiPUR-US seal contain flexible polyurethane foam products that have been tested and certified by an independent laboratory to meet specific criteria for physical performance, indoor emissions and environmental stewardship",En+E,1,0,1,0,0,3
"Manf,Serv",40,1998,CarbonNeutral,In,Thrdp,"CarbonNeutral® is the registered trademark of The CarbonNeutral Company and is a global standard to certify that businesses have measured and reduced their CO2 emissions to net zero for their company, products, operations or services",En+E ,1,1,1,0,1,4
Manf,41,1993,Danish Indoor Climate Label,Nonp,Slf,The Danish Indoor Climate label is a tool for development and selection of indoor air quality friendly products and better understanding of the impact of products and materials on the indoor air quality in buildings,"En+E,SC",1,1,0,0,0,2
Fa+A,42,1990,Dolphin Safe,Nonp,Slf,The Earth Island Institute monitors tuna companies around the world to ensure the tuna is caught by methods that do not harm dolphins and protect the marine ecosystem,En+E ,1,0,0,0,0,1
Serv,43,1998,Green Advantage Certification ,Nonp,Slf,It promotes green building education and stimulates the use of green building best practices by producing certification standards and assessments for building-related practitioners and organizations.,SC,1,0,1,0,1,3
Manf,44,2006,Global Organic Textile,In,Thrdp,"The Global Organic Textile Standard (GOTS) was developed with the aim to unify the various existing standards and draft standards in the field of eco textile processing and to define world-wide recognised requirements that ensure organic status of textiles, from harvesting of the raw materials, through environmentally and socially responsible manufacturing up to labelling in order to provide a credible assurance to the end consumer.",SC,1,1,1,0,1,4
Manf,45,2001,GREENGUARD,In ,Thrdp,GREENGUARD Certification helps manufacturers create -- and helps buyers identify -- interior products and materials that have low chemical emissions into indoor air during product usage.,En+E,1,1,1,1,1,5
Fa+A,46,1997,Food Aliance,Nonp,Thrdp,"Distinguishes farmers and ranchers who: provide safe and fair working conditions, provide healthy and humane treatment of animals; raise animals without added hormones and antibiotics; raise crops without genetically modified organisms; reduce pesticides usage and toxicity; conserve soil and water resources; preserve and protect wildlife habitat; and, commit to continuous improvement of these practices","En+E,SC",1,1,0,1,1,4
Manf,47,2009,Green Shape,In,Slf,"Green Shape is VAUDE’s label for products that feature special ecological manufacturing. The criteria for this label are that only products made of at least 90% organic cotton or recycled materials, colored using the VAUDE ecolour dyeing process or made to conform to the textile standard bluesign® earn the Green Shape quality label.",En+E,1,0,0,1,1,3
Serv,48,2009,Indoor airPLUS,Gov,In,EPA created Indoor airPLUS to help builders meet the growing consumer preference for homes with improved indoor air quality. EPA developed additional construction specifications to help improve indoor air quality in new homes.,En+E,1,0,1,0,1,4
Manf,49,2010,USDA Certified Biobased,Gov,Thrdp,"The purpose of this label is to make it easy for consumers to locate and compare biobased products for purchase. By choosing a biobased product labeled, USDA Certified Biobased Product, the consumer can be assured that the USDA and the federal government stand behind the accuracy of the percent of biobased ingredients as stated on the label.",En+E,1,0,0,0,1,2
"Manf,Serv",50,1997,U.S.EPA Safer choice,Gov,Thrdp,The program uses EPA's chemical knowledge and resources to carefully evaluate products and to label only those that have met the program's leadership standard.,En+E,1,1,1,1,1,5
Manf,51,2007,RSPO Certified Sustainable Palm Oil,Nonp,Thrdp,a seal of approval that the palm oil used in the product is produced sustainably and volumes are traceable.,En+E,1,1,1,1,1,5
Serv,52,2004,SCS FloorScore,In,Thrdp,a certification for commercial and residential hard-surface flooring products and flooring adhesives,En+E,1,0,1,0,0,2
Manf,53,2007,Nature Certification ,Nonp,Thrdp,The Natrue-Label is a guarantee for cosmetic products. Their goal is to promote and protect natural beauty and skin care products.,En+E,1,1,1,0,1,4